Maßnahmentitel;Maßnahmeart;inhaltl. Schlagrichtung;Schlagwörter;Produkt, Abrechnungsart;Kostenträger;Dauer;Praxisdauer;Abschluss (Zertifikate);Status;Dokumente;Organisation;Ansprechpartner I;Ansprechpartner II
AVGS Einzelcoaching;Coaching;Begleitendes Einzelcoaching mit individuellem Eintritt;Vorbereitung, AVGS (§45 SGB III), AVGS, Aktivierungsgutschein, Reflexion, Zukunfstplanung, Aktivierung, individuell, Coaching, Einzelcoaching, Profiling, Erwerbsbiographie, Kompetenzprofil, Feedback, Ressourcen., Werte, Ziele, Interessen, Kompetenzen, Beratung, Vorbereitung, Lebenslauf, Bewerbungsmanagement, ;AVGS;Jobcenter;;;;;;;Gaby van Duyk;Herr Räuschel
AVGS Einzelcoaching;Coaching;Einzelfallbezogenes Coaching-START mit individuellem Eintritt;Vorbereitung, AVGS (§45 SGB III), AVGS, Aktivierungsgutschein, Reflexion, Zukunfstplanung, Aktivierung, individuell, Coaching, Einzelcoaching, Profiling, Erwerbsbiographie, Kompetenzprofil, Feedback, Ressourcen., Werte, Ziele, Interessen, Kompetenzen, Beratung, Vorbereitung, Lebenslauf, Bewerbungsmanagement, ;AVGS;Jobcenter;;;;;;;Gaby van Duyk;Herr Räuschel
Arbeitsgelegenheiten Köln;Integrationsmaßnahme;Arbeitsgelegenheiten nach §16d SGBII, niederschwellige Beschäftigung in externen Einsatzstellen und im zentralen Spendenlager;Arbeitsgelegenheiten nach §16d SGBII, Langzeitarbeitslos, neue Chance, Weiterentwicklung, Orientierung, Einstieg, Arbeit, Integration, Aktivierung, Selbstwert, Struktur, Beschäftigungsfähigkeit, wettbewerbsneutrale Arbeiten;Beauftragung;Jobcenter;6 Monate;;;;;;;Herr Räuschel
Arbeitsgelegenheiten opti:Mahl;Integrationsmaßnahme;AGH OptiMahl - Beschäftigungsprojekt in den Bereichen Küche und Hauswirtschaft im Bürgerzentrum Köln-Porz Finkenberg;Arbeitsgelegenheiten nach §16d SGBII, Langzeitarbeitslos, neue Chance, Weiterentwicklung, Orientierung, Einstieg, Arbeit, Integration, Aktivierung, Selbstwert, Struktur, Beschäftigungsfähigkeit, wettbewerbsneutrale Arbeiten;Beauftragung;Jobcenter;6 Monate;;;;;;;Herr Räuschel
Arbeitsgelegenheiten Siegburg;Integrationsmaßnahme;Arbeitsgelegenheiten nach §16d SGBII, niederschwellige Beschäftigung in externen Einsatzstellen im Rhein-Sieg-Kreis;Arbeitsgelegenheiten nach §16d SGBII, Langzeitarbeitslos, neue Chance, Weiterentwicklung, Orientierung, Einstieg, Arbeit, Integration, Aktivierung, Selbstwert, Struktur, Beschäftigungsfähigkeit, wettbewerbsneutrale Arbeiten;Beauftragung;Jobcenter;6 Monate;;;;;;;Herr Räuschel
Arbeitsgelegenheiten Perspektive Einstieg;Integrationsmaßnahme;Arbeitsgelegenheiten nach §16d SGBII, niederschwellige Beschäftigung in internen Einsatzstellen im Kaufhaus fairpunkt und in der Kreativwerkstatt;Arbeitsgelegenheiten nach §16d SGBII, Langzeitarbeitslos, neue Chance, Weiterentwicklung, Orientierung, Einstieg, Arbeit, Integration, Aktivierung, Selbstwert, Struktur, Beschäftigungsfähigkeit, wettbewerbsneutrale Arbeiten;Beauftragung;Jobcenter;6 Monate;;;;;;;Herr Räuschel
Secondhand Kaufhaus;Integrationsmaßnahme;Fairpunkt - Second-Hand-Kaufhaus als Beschäftigungsprojekt für Langzeitarbeitslose;Arbeitsgelegenheiten nach §16d SGBII, Langzeitarbeitslos, neue Chance, Weiterentwicklung, Orientierung, Einstieg, Arbeit, Integration, Aktivierung, Selbstwert, Struktur, Beschäftigungsfähigkeit, wettbewerbsneutrale Arbeiten, Second Hand Kaufhaus;Beauftragung;Jobcenter;;;;;;;;Herr Räuschel
Arbeitsgelegenheiten Meckenheim;Integrationsmaßnahme;Arbeitsgelegenheiten nach §16d SGBII, niederschwellige Beschäftigung in externen Einsatzstellen im Rhein-Sieg-Kreis;Arbeitsgelegenheiten nach §16d SGBII, Langzeitarbeitslos, neue Chance, Weiterentwicklung, Orientierung, Einstieg, Arbeit, Integration, Aktivierung, Selbstwert, Struktur, Beschäftigungsfähigkeit, wettbewerbsneutrale Arbeiten;Beauftragung;Jobcenter;6 Monate;;;;;;;Herr Räuschel
Arbeitsgelegenheiten Perspektive Einstieg;Integrationsmaßnahme;Arbeitsgelegenheiten nach §16d SGBII, niederschwellige Beschäftigung in der Kreativwerkstatt;Arbeitsgelegenheiten nach §16d SGBII, Langzeitarbeitslos, neue Chance, Weiterentwicklung, Orientierung, Einstieg, Arbeit, Integration, Aktivierung, Selbstwert, Struktur, Beschäftigungsfähigkeit, wettbewerbsneutrale Arbeiten;Beauftragung;Jobcenter;6 Monate;;;;;;;Herr Räuschel
Arbeitsgelegenheiten Waldbröl;Integrationsmaßnahme;Arbeitsgelegenheeiten nach §16d SGBII, niederschwellige Beschäftigung in externen Einsatzstellen;Arbeitsgelegenheiten nach §16d SGBII, Langzeitarbeitslos, neue Chance, Weiterentwicklung, Orientierung, Einstieg, Arbeit, Integration, Aktivierung, Selbstwert, Struktur, Beschäftigungsfähigkeit, wettbewerbsneutrale Arbeiten;Beauftragung;Jobcenter;6 Monate;;;;;;;Herr Räuschel
Arbeitsgelegenheiten PLuS Waldbröl;Integrationsmaßnahme;Arbeitsgelegenheiten nach §16d SGBII, niederschwellige Beschäftigung in der Kreativwerkstatt;Arbeitsgelegenheiten nach §16d SGBII, Langzeitarbeitslos, neue Chance, Weiterentwicklung, Orientierung, Einstieg, Arbeit, Integration, Aktivierung, Selbstwert, Struktur, Beschäftigungsfähigkeit, wettbewerbsneutrale Arbeiten;Beauftragung;Jobcenter;6 Monate;;;;;;;Herr Räuschel
Aktivierungshilfen für jüngere Erwachsene;Integrationsmaßnahme;Maßnahme zur Verbesserung beruflicher Integrationschancen für sozial- und bildungsbenachteiligte Jugendliche und junge Erwachsene im Auftrag des Jobcenters Bonn;Ferry4you, junge Erwachsene, Perspektive, Chancen, Ausbildung, Abreitsmarkt, Heranführen, Fähigkeiten, Anforderungen, Stabilisierung, gesundheitlich, sozial, Hilfsangebote, Einstieg, Orientierung, Empfehlung, Ziele, Förderplan, Hilfsplan, Kommunikationstraining, Lernen und Arbeiten, Berufsfelder, betriebliche Praktika, begleitete Hilfsangebote, sozialpädagogische Begleitung, Eingleiderungsmöglichkeite, Begleitung in Ausbildung, Arbeit, Anschlussperspektive;Ausschreibung;Jobcenter;6-12 Monate;;;;;;Bernd Wietfeld;Herr Räuschel
Aktivierungshilfen für jüngere Erwachsene;Integrationsmaßnahme;Maßnahme zur Verbesserung beruflicher Integrationschancen für sozial- und bildungsbenachteiligte Jugendliche und junge Erwachsene im Auftrag des Jobcenters Rhein-Erft;Ferry4you, junge Erwachsene, Perspektive, Chancen, Ausbildung, Abreitsmarkt, Heranführen, Fähigkeiten, Anforderungen, Stabilisierung, gesundheitlich, sozial, Hilfsangebote, Einstieg, Orientierung, Empfehlung, Ziele, Förderplan, Hilfsplan, Kommunikationstraining, Lernen und Arbeiten, Berufsfelder, betriebliche Praktika, begleitete Hilfsangebote, sozialpädagogische Begleitung, Eingleiderungsmöglichkeite, Begleitung in Ausbildung, Arbeit, Anschlussperspektive;Ausschreibung;Jobcenter;6-12 Monate;;;;;;Bernd Wietfeld;Herr Räuschel
BaE-kooperatives Modell;Integrationsmaßnahme;Begleitete duale Berufsausbildung in Kooperation mit Betrieben im Auftrag der Agentur für Arbeit Köln;kooperatives Modell, duale Berufsausbildung, Kooperation, begleitete Ausbildung, außerbetriebliche Einrichtung, duale Ausbildung, BaE, koop, junge Erwachsene, Stützunterricht, sozialpädagogische Beteuung, BaE-Koop;Ausschreibung;Jobcenter;24-36 Monate;;;;;;Bernd Wietfeld;Herr Räuschel
Reha-Ausbildung kooperatives Modell;Integrationsmaßnahme;Begleitete duale Berufsausbildung in Kooperation mit Betrieben für Rehabilitanden in den Berufen Verkaufshelfer:in und Verkäufer:in im Auftrag der Reha-Abteilung der Agentur für Arbeit Köln;kooperatives Modell, duale Berufsausbildung, Kooperation, begleitete Ausbildung, außerbetriebliche Einrichtung, Reha, Verkauf, Verkäuferin, Verkaufshelfer, Rehabilitanden, Begleitung, koop, junge Erwachsene, Stützunterricht, sozialpädagogische Beteuung, Reha-Koop;Ausschreibung;Jobcenter;24 Monate;;;;;;Bernd Wietfeld;Herr Räuschel
Vorschaltmaßnahme;Vorbereitung;Vorbereitung auf eine (betriebliche) Umschulung bzw. Vermittlung in Arbeit im Auftrag der Agentur für Arbeit Köln in Kooperation mit dem diakonischen Träger Zug um Zug;Heranführung, Vermittlung, abschlussorientiert, Umschulung, Qualifizierung, Beratungsgespräche, Kompetenzen, Stärken, Bewerbugnsstrategien, Bewerbungscoaching, Workshops, betreibeliche Erprobung, Umschulungsunternehmen, Qualifizierungsbetrieb, Begleitung in Arbeit;Ausschreibung;Jobcenter;3 Monate;;;;;;;Herr Räuschel
MY TURN - Let's go;Coaching;ESF Bundesprogramm zur Arbeitsmarktintegration geflüchteter Frauen, in Kooperation mit fünf weiteren Trägern, dem Jobcenter und der Agentur für Arbeit in Köln;ESF-Bundesprogramm AktiF, ESF, My Turn, Frauen, Migrationshintergrund, Arbeitsmarkt, Qualifizierungsmaßnahme, geringqualifiziert, Alleinerziehend, Migrationserfahrung, Unterstützung, sozialversicherungspflichtige Beschäftigung, neu zugewandert, Geflüchtete, Kinderbetreuung, Sprache, deutsch, Basiskompetenzen, frauenspezifisch, Begleitung, Stärkung, individuell, Empowerment, Teilhabe, Praktika, Familie, Beruf, Beschäftigung, Ausbildung, Qualifizierung;ESF-Projekt;;individuell;;;;;;Frau Breitenbach;Herr Räuschel
FamOus Plus;Coaching;"Rechtskreisübergreifende Beratung und Unterstützung von Familien; Kooperation mit dem VSB Gummersbach";ESF-Bundesprogramm AktiF;ESF-Projekt;;individuell;;;;;;Frau Breitenbach;Herr Räuschel
Beratungsstellen Arbeit;Sonstiges;"Offenes Beratungsangebot für Erwerbslose, Arbeitssuchende und Menschen in Arbeit; in Kooperation mit dem VSB Gummersbach";ESF-Landesprogramm NRW;ESF-Projekt;;individuell;;;;;;Frau Breitenbach;Herr Räuschel
TEP;Integrationsmaßnahme;Vorbereitung auf eine Teilzeit-Berufsausbildung, Vermittlung in einen Ausbildungsplatz und Begleitung während der Ausbildung für Menschen mit Familienverantwortung (z.B. Alleinerziehende) in Kooperation mit drei Trägern;ESF-Landesprogramm NRW, ESF, TEP, Teilzeit, Teilzeitausbildung, Berufsausbildung, begleiteter Einstieg, Frauen, Mütter, Alleinerziehende, Ausbildung, Suche, Bewerbung, Familienverantwortung, Perspektiven, sozialpädagogische Begleitung, Vorbereitung, ;ESF-Projekt;;12 Monate;;;;;;Frau Breitenbach;Herr Räuschel
TAFF - track your future fitness;Coaching;Beratung von jungen Geflüchteten in Kölner Berufskollegs, unter anderem Beratung zu gesundheitlichen Themen in Kooperation mit dem diakonischen Träger Jugendwerkstatt Köln;ESF-Bundesprogramm AktiF;ESF-Projekt;;individuell;;;;;;Frau Breitenbach;Herr Räuschel
Qualifizierung und Potenzialanalyse;Sonstiges;Kooperationsprojekt mit der Stadt Köln für Beschäftigte in geringen Einkommensgruppen, insbesondere nach längerer Erkrankung;Erfassung und Reflektion psychosozialer Faktoren, beruflicher Werdegang, Motivation, hemmenden und fördernden Kontextfaktoren, subjektivem Empfinden und perspektivischem Einschätzen der eigenen Erkrankung, aktuelles Arbeitsverhältnisses, Rückkehr, Adaption oder Umsetzung Arbeitsplatz;;;6 Monate;;;;;;;Herr Räuschel
Berufliches Trainingszentrum Köln-Bonn;Integrationsmaßnahme;"Einrichtung der Beruflichen Reha; erweiterte Berufsfindung und Arbeitserprobung (eBA) und Berufliches Training (BT)";Orientierung, Arbeitserprobung, Assessment,  Berufsperspektive, Findungsprozess, Berufsbilder, medizinische Abklärung, Eignungsabklärung, Berufsfindung, Neuorientierung, neue Berufsfelder Leistungsvermögen, berufspraktische Erprobungen, medizinische Abklärung, Stärken, langfristige Jobperspektive, psychologische Eignungsuntersuchung, sozialmedizinische Stellungnahme, fachpraktische Testung, berufliche Orientierung, erweiterte Berufserprobung, eBA;Reha;;eBA 6 Wochen, BT 11 Monate;;;;;;;Herr Räuschel
FbW im Friseurhandwerk;Umschulung;FbW-Umschulung mit HWK-Abschluss, finanziert über Bildungsgutscheine durch Agentur für Arbeit und Jobcenter;in Planung ab 2024;BGS;Agentur für Arbeit und Jobcenter;24 Monate;;Abschluss HWK;;;;Dennis Chrubasik;Herr Räuschel
Individuelles Coaching für Geflüchtete aus der Ukraine;Coaching;Indiv. Coaching und Profiling mit dem Ziel einer Empfehlung für eine weitere Maßnahme zur berufl. Integration;Einzelcoaching, Geflüchtete, Ukraine, russisch, ukrainisch, Deutschkenntnisse, Einzeltermine, persönlicher Ansprechpartner, Berufliche Entwicklung, Möglichkeiten, deutscher Arbetismarkt Anschluss, Beratung, Ausgangslage, Bewerbungsmanagement, Weiterbildungsmöglichkeiten, Anschlussperspektive, Übergang, Begelitung, Vorbereitungskurse, Wieterbildung, Arbeit, Übersetzung, Anerkennung, Integration;AVGS;Jobcenter Köln;12 Wochen;;Teilnehmerbescheinigung intern;;;;Dennis Chrubasik, Arne Carpus;Herr Räuschel
Vermittlung von Grundkompetenzen für Geflüchtete aus der Ukraine;Vorbereitung;Gruppenmaßnahme zur Stärkung von Grundkompetenzen zur Vorbereitung  einer berufbezogenen Weiterbildungsmaßnahme mit dem Ziel der berufl. Integration;Qualifizierung, Vorbereitung, berufliche Umschulung, Geflüchtete, Ukraine, russisch, ukrainisch, deutschkenntnisse, deutscher Arbeitsmarkt, Grundkompetenzen, Stärken, Gruppencoaching, Grundfertigkeiten, Sprache, Mathematik, Medienkompetenz, Lerntechniken, Arbeitstechniken, Orientierung, Schulung, Vermittlung, berufliche Weiterbildung, Übersetzung, Begleitung, Wochenplan, Bewerbungsunterlagen, Qualifizierung, Umschulung, Integration;BGS;Jobcenter Köln;3 Monate;;Teilnehmerbescheinigung intern;;;;Dennis Chrubasik, Arne Carpus;Herr Räuschel
Köbi Pro TQ +;Vorbereitung;In Planung ab Januar 2024, Vorbereitung auf Qualifizierung, Verbindung von Gruppen- und Einzelmaßnahmen;Coaching, vorgelagert, AVGS, plus, Berufsorientierung, Testung, Profiling, Berufserprobung, Gewerke, Orientierung, Vorbereitung, Beratung, Bewerbungsmanagement, Lebenslauf, Module, Einzelcoaching, modularer Aufbau, Kompetenzen, Berufserprobung, Einzelcoaching, Gruppenmaßnahme, Profiling;AVGS;Jobcenter Köln;;;Teilnehmerbescheinigung intern;;;;Arne Carpus;Herr Räuschel
Nachgelagertes Coaching KöBi;Coaching;Einzelcoaching Vermittlung auf den Arbeitsmarkt;Coaching, AVGS, Nachbereitung, nachgelagert, Arbeitsvermittlung, Bewerbungsmanagement, Anschreiben, Bewerbungsgespräche, Vorbereitung, Stellensuche, Arbeitsvermittlung, Netzwerk, Beratung, Hilfestellung, Lebenslauf, Prakitkum, Anschluss, Übergang in Arbeit, Vermittlung;AVGS;Jobcenter Köln;;;Teilnehmerbescheinigung intern;;;;Arne Carpus;Herr Räuschel
Prüfungsvorbereitung KöBi intensiv;Umschulung;Verlängerte Prüfungsvorbereitung mit Wiederholung von Inhalten aus einzelnen Teilqualifizierungen;Kölner Bildungsmodell, AVGS, Einschlägige Berufserfahrung, Nachholen Berufsabschluss, Kammerprüfung verschiedene Berufsrichtungen, Prüfungsvorbereitung, Externenprüfung, Schwerpunkt Sprache, intensiv, Integration, Migrationshintergrund;BGS;Jobcenter Köln;;;Abschluss IHK;;;;Arne Carpus;Herr Räuschel
"Berufliches Rehabilitationstraining
(BRT)";Integrationsmaßnahme;Integrationsprogramm für arbeitslose Rehabilitanden mit psychischen Vorerkrankungen und Berufspraxis- gesundheitliche Stabilisierung, Abgleich/Aufbau beruflicher Kompetenzen, betriebliche Praktika;Integration, arbeitslose Rehabilitanden, berufliche Kompetenzen;"Reha
";Rentenversicherung;12 Monate;flexibel, bis zu 10 Monate;Teilnahmebescheinigung mit Auflistung inhaltlicher Schwerpunkte sowie der absolvierten Praktika;"aktiv
";;BFW Köln;G. Kloppenburg;Hildegard Clemens
Betriebliche Integrationsförderung (BIF);Integrationsmaßnahme;Integrationsprogramm für arbeitslose Rehabilitanden und Arbeitssuchende mit Berufspraxis - Abgleich/Aufbau beruflicher Kompetenzen, betriebliche Praktika, Training on the Job (TOJ);Integration, arbeitslose Rehabilitanden, berufliche Kompetenzen;Reha;"Standort Brühl: Rentenversicherung, Berufsgenossenschaften;                Standort Köln: alle Rehaträger";9 Monate;flexibel, bis zu 8 Monate - je mehr, desto besser;Teilnahmebescheinigung mit Auflistung inhaltlicher Schwerpunkte sowie der absolvierten Praktika;aktiv;;BFW Köln;M. Schiffer;Petra Schulz
Integrationsvorbereitungstraining (IVT);Integrationsmaßnahme;"Integrationsprogramm für Menschen mit psychischer Erkrankung und abgeschlossener medizinischer Rehabilitation, gesundheitliche Stabilisierung, Kompetenztrainings, Orientierungspraktikum
";Vorbereitung auf Integration, Orientierung, Praktikum, Kompetenztraining;Reha;"Standort Brühl: Rentenversicherung, Berufsgenossenschaften;                  Standort Köln: alle Rehaträger";3 Monate;4 Wochen  ;Teilnahmebescheinigung mit Auflistung inhaltlicher Schwerpunkte sowie der absolvierten Praktika, weiterführende Teilnahmeempfehlung BIF;aktiv;;BFW Köln;G. Kloppenburg;Petra Schulz
"Bauzeichner/-in
Fachrichtung Architektur";Umschulung;Erstellung von Bauzeichnungen, CAD- Zeichnungen, Unterstützung bei Bauanträgen, Bauchemie, Werkstoffe und deren korrekter Einsatz, Energieeinsparung, Erstellen und Lesen von Technischen Dokumenten (Zeichnungen, Stücklisten);Bauzeichner, Bautechniker, Architekturbüros;Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;mehrmonatig;IHK-Zeugnis;aktiv;;BFW Köln;L. Müller;
"Fachkraft für Metalltechnik 
Fachrichtung Montagetechnik";Umschulung;Bei der Herstellung von Metallwerkstücken gefragt - Fertigung-Ausbildung, Spezialisierung auf Montagetechnik, Erstellen und Lesen von Technischen Dokumenten (Zeichnungen, Stücklisten);"Fertigung, Produktion, Maschinen- und Anlagenführerin, Fachkraft für Metalltechnik Fachrichtung Montagetechnik,  Industriemechaniker Einsatzgebiet Feingerätebau, Industriemechanikerin, CNC-Anwender Drehen und Fräsen (NCG), CNC-Anwenderin, CNC-Anwender für Fachkräfte (NCG), Industriefachkraft für CNC-Fertigung, Industriefachkraft für CNC- und CAM-Fertigung, Industriefachkraft für CAM-Fertigung, CNC
";Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";18 Monate;12 Monate;IHK-Zeugnis;aktiv;;BFW Köln;L. Müller;
